trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1249,False,"{'a': 0.002, 'e': 0.08241399617483297}",25,0,42.37288790632354,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1250,False,"{'a': 0.002, 'e': 0.08224933290064523}",25,17,15.22607923939497,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1251,False,"{'a': 0.002, 'e': 0.0820849986238988}",20,16,9.201523452971173,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1252,False,"{'a': 0.002, 'e': 0.08192099268725626}",20,6,27.693734397090203,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1253,False,"{'a': 0.002, 'e': 0.08175731443469375}",20,1,-11.866900167344477,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
1254,False,"{'a': 0.002, 'e': 0.08159396321149794}",20,4,30.165290909073892,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1255,False,"{'a': 0.002, 'e': 0.08143093836426381}",20,10,21.73189976212012,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1256,False,"{'a': 0.002, 'e': 0.08126823924089167}",20,10,18.902552383784915,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1257,False,"{'a': 0.002, 'e': 0.0811058651905849}",20,0,17.12333902919332,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1258,False,"{'a': 0.002, 'e': 0.08094381556384699}",20,10,19.169557136964855,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1259,False,"{'a': 0.002, 'e': 0.08078208971247929}",20,12,4.677966411641629,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1260,False,"{'a': 0.002, 'e': 0.08062068698957811}",25,14,20.31108796295598,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1261,False,"{'a': 0.002, 'e': 0.08045960674953244}",20,6,-9.423704395100891,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
